edition_info,url
Edição  nº 436 de 04 de dezembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751204_000000436.pdf
Edição  nº 435 de 24 de novembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751124_000000435.pdf
Edição  nº 434 de 09 de outubro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751009_000000434.pdf
Edição  nº 433 de 01 de outubro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19751001_000000433.pdf
Edição  nº 432 de 01 de setembro de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750901_000000432.pdf
Edição  nº 431 de 28 de agosto de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750828_000000431.pdf
Edição  nº 430 de 19 de agosto de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750819_000000430.pdf
Edição  nº 429 de 11 de agosto de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750811_000000429.pdf
Edição  nº 428 de 24 de julho de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750724_000000428.pdf
Edição  nº 427 de 14 de julho de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750714_000000427.pdf
Edição  nº 426 de 10 de julho de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750710_000000426.pdf
Edição  nº 425 de 07 de julho de 1975,https://goiania.go.gov.br/Download/legislacao/diariooficial/1975/do_19750707_000000425.pdf
Edição  nº 196 de 31 de dezembro de 1969 - Suplemento,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691231_000000196_suplemento.pdf
Edição  nº 196 de 31 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691231_000000196.pdf
Edição  nº 195 de 30 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691230_000000195.pdf
Edição  nº 194 de 27 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691227_000000194.pdf
Edição  nº 193 de 27 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691227_000000193.pdf
Edição  nº 192 de 26 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691226_000000192.pdf
Edição  nº 191 de 19 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691219_000000191.pdf
Edição  nº 190 de 12 de dezembro de 1969,https://goiania.go.gov.br/Download/legislacao/diariooficial/1969/do_19691212_000000190.pdf
Edição  nº 13 de 11 de outubro de 1960,https://goiania.go.gov.br/Download/legislacao/diariooficial/1960/do_19601011_000000013.pdf
Edição  nº 12 de 29 de setembro de 1960,https://goiania.go.gov.br/Download/legislacao/diariooficial/1960/do_19600929_000000012.pdf
Edição  nº 11 de 14 de setembro de 1960,https://goiania.go.gov.br/Download/legislacao/diariooficial/1960/do_19600914_000000011.pdf
